id_port,Pathways_deg,Pathways_close_unw,Pathways_close_dur
3012,209,1.7941,11.7952
3724,89,1.9931,11.5392
5708,33,2.3089,13.9289
5133,27,2.3478,14.0951
5268,47,2.3844,12.3848
3241,67,2.1648,14.2256
5022,44,2.238,15.662
856,203,1.778,13.4599
830,444,1.4874,12.8185
1828,325,1.659,12.3793
1323,61,2.3661,13.2217
3324,16,2.5698,16.9
966,101,1.9291,15.2402
219,134,1.8787,18.4772
1483,35,2.3387,14.1315
6133,21,2.6934,14.3102
5767,115,1.8673,13.8124
2491,80,1.9794,15.956
3871,35,2.1053,16.2918
4453,108,1.9245,17.5421
205,62,2.0092,13.7445
8048,286,1.6842,12.1481
2145,11,2.4462,13.6828
151,28,2.3066,15.4518
843,80,1.913,13.6014
4337,232,1.7323,13.3601
3832,244,1.7277,15.0845
2302,21,2.3707,13.9815
5233,179,1.8009,13.2643
2121,11,2.4394,14.0438
5295,448,1.4668,14.5305
5123,20,2.2632,18.4768
2688,191,1.8169,13.2407
5224,43,2.3432,13.1562
7596,144,1.8696,15.0936
593,121,1.9062,15.0203
2213,4,3.0183,21.777
7762,30,2.4943,15.8636
5145,37,2.4302,12.5871
681,32,2.3501,13.2409
501,120,1.8924,11.6777
1652,9,2.4233,15.3963
3062,21,2.3684,12.7008
1452,55,2.0961,13.169
5041,24,2.3616,14.7533
253,37,2.3455,14.0894
372,4,2.4622,14.8466
2235,7,2.7826,13.4078
1254,68,2.222,22.8594
9703,210,1.8009,11.4676
1786,73,2.3341,11.9619
1314,19,2.4142,14.2033
5134,23,2.3204,14.0956
1107,10,2.8009,14.8036
811,28,2.3753,13.0488
790,82,1.9565,17.9518
6418,84,2.0892,13.835
2414,12,2.4989,13.7282
6047,52,2.3684,11.4782
1546,12,2.5721,13.3226
7559,239,1.7368,13.485
3590,247,1.7574,13.6044
1139,39,2.3364,14.0207
2993,365,1.5973,14.6621
5749,60,2.254,11.7141
6142,66,2.0435,11.0513
1369,79,2.1602,12.83
2631,147,1.8902,11.9038
3191,26,2.3158,14.0159
5075,23,2.3593,15.3347
3719,58,2.2632,11.3552
2385,35,2.4645,13.2317
2567,73,2.1854,13.7272
2714,12,2.5538,12.1805
4717,12,2.4554,15.5919
5094,10,2.6178,13.4095
3272,167,1.8719,15.1287
2201,11,2.3547,15.413
963,76,1.9954,15.8383
4250,111,1.9222,12.2158
4992,147,1.9497,12.4167
576,434,1.5217,13.0407
3380,5,2.6934,13.4083
3618,25,2.3616,11.8351
5137,32,2.2632,14.8637
4444,16,2.3753,14.1169
1282,33,2.2792,13.9052
8914,29,2.3478,15.7074
3824,61,2.2197,24.7854
90,158,1.8215,16.0612
1182,472,1.4394,14.2969
2779,22,2.5538,12.5108
4326,152,1.9565,12.7194
4760,68,2.1831,11.5416
1612,74,1.984,13.8077
2346,130,1.8856,13.2521
4438,24,2.3478,14.3304
5778,117,1.8741,13.1306
1997,34,2.4119,10.8264
4295,7,2.7185,14.3699
3432,65,2.151,13.8618
9719,89,1.9336,11.7281
3529,101,2.1236,13.2151
2935,56,2.2586,13.9102
8435,94,2.1281,14.3631
5917,41,2.3066,11.998
1441,49,2.1945,13.8357
4458,17,2.3547,14.5971
3106,119,1.8719,11.6156
7598,203,1.762,19.2127
502,31,2.2517,14.4455
70,2,2.8535,16.6532
4867,21,2.3753,16.6012
4640,120,1.9062,13.8568
1878,41,2.4943,14.546
1891,23,2.4828,11.5519
9468,127,1.9039,15.3143
2394,36,2.27,13.071
3647,104,2.1693,13.9661
4042,187,1.8055,17.3601
2157,12,2.3707,13.4605
4700,112,1.9886,11.6865
5160,12,2.6064,13.8727
5490,78,2.0801,20.8057
5923,65,2.2288,15.212
4572,278,1.7071,15.4677
4823,21,2.3753,17.8132
402,45,2.2334,14.1277
4165,181,1.8513,12.7369
4231,27,2.3455,14.7838
4593,207,1.7918,14.3573
2664,122,1.8879,14.2235
1534,84,1.9748,24.5235
1995,17,2.4119,13.9453
115,360,1.5858,15.3529
2549,306,1.6613,14.1938
2445,136,2.135,13.8718
3434,32,2.4119,12.3491
3381,103,2.016,12.7026
3978,17,2.5904,14.6141
5889,118,1.9039,16.304
5263,79,2.0229,16.9819
5477,78,2.103,12.8299
1231,28,2.3593,13.7349
611,11,3.0824,17.2423
3915,120,2.0549,12.351
1142,16,2.4302,16.5858
3662,88,1.9908,21.958
2978,299,1.6636,14.539
2131,172,1.8032,13.1731
3415,45,2.2403,14.1473
4289,211,1.7986,11.5173
8839,39,2.2517,16.5104
3035,8,2.4485,14.1279
5157,77,1.9588,19.0014
5554,139,1.8902,11.7926
298,203,1.8009,13.5448
5403,5,2.4302,15.3441
1304,35,2.1419,13.4689
166,77,2.2563,13.0202
1524,31,2.3135,15.992
3592,195,1.8261,11.0544
3624,95,1.9245,23.6769
1817,54,2.2174,13.2579
4345,96,1.9451,11.8229
3501,13,2.3478,13.7735
2266,124,1.8261,20.2495
3144,137,1.9291,17.7564
818,21,2.3204,18.0515
722,64,2.0069,14.2639
6166,245,1.7414,12.0641
4868,11,2.4005,17.4634
4592,29,2.2975,14.318
4258,28,2.5446,13.0938
4714,25,2.3455,13.3427
821,189,1.7986,12.3742
808,10,3.2334,15.637
5522,143,1.8787,13.011
1658,134,1.9634,13.9573
6464,50,2.1762,11.3152
2775,182,1.7849,15.7956
2241,18,2.6316,12.7782
944,18,2.3249,16.721
5793,22,2.3432,18.1534
185,266,1.7208,13.3557
603,202,1.7986,11.9151
5438,95,2.1579,17.3337
2539,40,2.2883,16.6129
2756,34,2.3524,13.6626
4620,100,2.0092,19.5791
5096,23,2.3043,14.8971
3169,59,2.238,13.9718
2685,63,2.2059,11.4495
4899,186,1.8352,13.7132
1965,43,2.2334,25.5885
3164,477,1.4348,14.3257
8956,28,2.3753,12.152
4646,32,2.3593,13.4745
4604,268,1.6911,13.7073
4779,14,2.405,16.753
5760,51,2.2677,14.2512
3943,35,2.2128,17.0532
5802,213,1.7323,13.8717
2994,37,2.3112,14.0059
2275,15,2.3799,13.978
2865,104,2.0938,12.3741
1781,206,1.8078,16.1321
1549,6,2.476,13.8143
670,71,2.1648,14.0524
4489,107,1.9336,18.889
5135,44,2.2654,14.4344
2782,154,1.9268,13.7805
4400,35,2.3501,15.1425
8079,214,1.8032,15.3568
2248,331,1.659,12.7028
1903,113,2.1556,12.4458
2503,73,2.0092,20.2278
130,135,1.8947,19.5611
5213,32,2.373,12.3827
2516,33,2.3524,15.2097
3326,27,2.5378,15.3237
5784,39,2.3432,14.3943
4059,24,2.3295,12.8379
881,52,2.1213,17.4382
5270,62,1.9817,12.2823
1985,75,2.2174,12.7207
3456,242,1.7346,12.3286
167,188,1.8215,12.7505
2249,46,2.3387,14.9419
3066,62,2.0229,20.6469
1912,112,1.8513,15.1705
42,35,2.3158,13.3249
1597,24,2.4211,15.5893
20,23,2.2769,15.01
4303,92,2.1762,14.3248
5513,145,1.9359,12.3056
4006,88,2.222,11.6377
2968,103,2.1442,12.5592
3817,335,1.6224,15.2303
8640,146,1.8535,13.6748
2918,14,2.4188,15.0147
